Temperatur (mK);Power (dBm);Qint
100;-140;1,64E+06
200;-140;1,53E+06
300;-140;2,44E+06
400;-140;2,71E+06
500;-140;2,92E+06
600;-140;3,52E+06
700;-140;3,95E+06
800;-140;4,31E+06
900;-140;4,42E+06
1000;-140;4,38E+06
1100;-140;4,28E+06
1200;-140;3464415
1300;-140;3042468
1400;-140;2657917
1500;-140;1974064
1600;-140;1306835
1700;-140;861599
