Temperatur (mK);Power (dBm);Qint
100;-100;9,19E+06
200;-100;9,53E+06
300;-100;1,03E+07
400;-100;1,04E+07
500;-100;1,07E+07
600;-100;1,08E+07
700;-100;1,07E+07
800;-100;1,06E+07
900;-100;1,05E+07
1000;-100;9,97E+06
1100;-100;9,00E+06
1200;-100;5257928
1300;-100;4262427
1400;-100;3251229
1500;-100;2234339
1600;-100;1460122
1700;-100;948314
