Temperatur (mK);Power (dBm);Qint
100;-120;5,47E+06
200;-120;5,89E+06
300;-120;6,13E+06
400;-120;6,47E+06
500;-120;6,65E+06
600;-120;7,17E+06
700;-120;7,07E+06
800;-120;7,50E+06
900;-120;7,33E+06
1000;-120;7,13E+06
1100;-120;6,83E+06
1200;-120;4391226
1300;-120;3673222
1400;-120;2924875
1500;-120;2056235
1600;-120;1391479
1700;-120;917683
