Temperatur (mK);Power (dBm);Qint
100;-80;1,58E+07
200;-80;1,72E+07
300;-80;1,86E+07
400;-80;1,92E+07
500;-80;1,93E+07
600;-80;1,89E+07
700;-80;1,87E+07
800;-80;1,86E+07
900;-80;1,78E+07
1000;-80;1,67E+07
1100;-80;1,42E+07
1200;-80;6666460
1300;-80;5123290
1400;-80;3738171
1500;-80;2452523
1600;-80;1554635
1700;-80;986951
